title,contributor,issued,format,fulltext_url,trove_url,trove_id,fulltext_url_type,issues,issues_with_text,directory
"""Coo-ee!"" (Bishops Knoll Hospital (Bristol, England))","Bishops Knoll Hospital (Bristol, England)",1916-1917,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-8423556,https://trove.nla.gov.au/work/5558692,nla.obj-8423556,digitised,13,13,coo-ee-bishops-knoll-hospital-bristol-england-nla.obj-8423556
... Review / Remuneration Tribunal,Australia. Remuneration Tribunal,1900-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",https://nla.gov.au/nla.obj-1179844258,https://trove.nla.gov.au/work/19924419,nla.obj-1179844258,digitised,6,6,review-remuneration-tribunal-nla.obj-1179844258
14th Company magazine,"Australia. Army. Company, 14th",1910,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-15956697,https://trove.nla.gov.au/work/31653833,nla.obj-15956697,digitised,1,1,14th-company-magazine-nla.obj-15956697
24th Battalion journal,"Australia. Army. Battalion, 24th",1918,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-24207812,https://trove.nla.gov.au/work/31636243,nla.obj-24207812,digitised,1,1,24th-battalion-journal-nla.obj-24207812
A Careta,,1900,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-320275568,https://trove.nla.gov.au/work/18930041,nla.obj-320275568,digitised,2,2,a-careta-nla.obj-320275568
A report on the Ombudsman's activities in monitoring controlled operations conducted by the National Crime Authority and Australian Federal Police / Commonwealth Ombudsman,Commonwealth Ombudsman (Australia),2002-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-666266177,https://trove.nla.gov.au/work/10430349,nla.obj-666266177,digitised,11,11,a-report-on-the-ombudsman-s-activities-in-monitori-nla.obj-666266177
"A review of activities / Bureau of Customs, Department of Business and Consumer affairs",Australia. Bureau of Customs,1976,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1426173653,https://trove.nla.gov.au/work/7731751,nla.obj-1426173653,digitised,1,1,a-review-of-activities-bureau-of-customs-departmen-nla.obj-1426173653
A-B-C of Queensland statistics,Queensland. Government Statistician's Office,1900-1925,"Government publication | Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-335573281,https://trove.nla.gov.au/work/19162134,nla.obj-335573281,digitised,2,2,a-b-c-of-queensland-statistics-nla.obj-335573281
A.H. Massina & Co's weather almanac and general guide and handbook for Victoria for ... with calendar and map of railway systems,A. H. Massina & Co,1864-1894,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2905264494,https://trove.nla.gov.au/work/19479824,nla.obj-2905264494,digitised,21,21,a-h-massina-co-s-weather-almanac-and-general-guide-nla.obj-2905264494
AACRDE report / Australian Advisory Committee on Research and Development in Education,Australia. Advisory Committee on Research and Development in Education,1973-1976,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1284551020,https://trove.nla.gov.au/work/6205336,nla.obj-1284551020,digitised,5,5,aacrde-report-australian-advisory-committee-on-res-nla.obj-1284551020
