title,contributor,issued,format,fulltext_url,trove_url,trove_id,fulltext_url_type
"Laws, etc. (Acts of the Parliament)",Victoria,1900-2021,"Government publication | Periodical | Periodical/Journal, magazine, other | Microform",http://nla.gov.au/nla.obj-54127737,https://trove.nla.gov.au/work/10078182,nla.obj-54127737,digitised
The Silver stream songster,,1890-1900,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-614066685,https://trove.nla.gov.au/work/10087062,nla.obj-614066685,digitised
Report / Defence Force Remuneration Tribunal,Australia. Defence Force Remuneration Tribunal,1980-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2137302489,https://trove.nla.gov.au/work/10096343,nla.obj-2137302489,digitised
Country web (Online),Rural Women's Network (N.S.W.),1993-2021,"Government publication | Periodical | Periodical/Journal, magazine, other | Archived website",https://nla.gov.au/nla.obj-2337896017,https://trove.nla.gov.au/work/10100510,nla.obj-2337896017,edeposit
Territory of Papua : annual report for the period ... ..,Australia. Department of External Territories,1940-1949,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2060262652,https://trove.nla.gov.au/work/10103835,nla.obj-2060262652,digitised
Review of operations / Australian Land Transport Development Program,Australian Land Transport Development Program,1991-1994,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1654948325,https://trove.nla.gov.au/work/10105924,nla.obj-1654948325,digitised
Stonequarry journal (Online),Picton and District Historical and Family History Society,1992-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-862209995,https://trove.nla.gov.au/work/10106079,nla.obj-862209995,edeposit
Report of the Auditor-General upon the financial statements prepared by the Minister for Finance and upon other accounts,Australia. Auditor-General's Office,1979-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",https://nla.gov.au/nla.obj-1371947658,https://trove.nla.gov.au/work/10234825,nla.obj-1371947658,digitised
Report of the Auditor-General upon the statement of receipts & expenditure presented by the Minister for Finance and upon other accounts,Australia. Auditor-General's Office,1978-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",https://nla.gov.au/nla.obj-1270248615,https://trove.nla.gov.au/work/10234830,nla.obj-1270248615,digitised
"Report of the Auditor-General upon audits, examinations and inspections under the Audit and other acts",Australia. Auditor-General's Office,1900-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",https://nla.gov.au/nla.obj-1537652298,https://trove.nla.gov.au/work/10262768,nla.obj-1537652298,digitised
