title,id,details,pages,text_file
Angry Penguins broadsheet.,nla.obj-320791009,Collection No. 1,16,angry-penguins-broadsheet-collection-no-1-nla.obj-320791009.txt
Angry Penguins broadsheet.,nla.obj-320791023,Collection No. 2,16,angry-penguins-broadsheet-collection-no-2-nla.obj-320791023.txt
Angry Penguins broadsheet.,nla.obj-320791046,Collection No. 3,16,angry-penguins-broadsheet-collection-no-3-nla.obj-320791046.txt
Angry Penguins broadsheet.,nla.obj-320791067,Collection No. 4,16,angry-penguins-broadsheet-collection-no-4-nla.obj-320791067.txt
Angry Penguins broadsheet.,nla.obj-320791128,"Collection No. 5 (May, 1946)",16,angry-penguins-broadsheet-collection-no-5-may-1946-nla.obj-320791128.txt
Angry Penguins broadsheet.,nla.obj-320791144,"Collection No. 6 (Jun., 1946)",16,angry-penguins-broadsheet-collection-no-6-jun-1946-nla.obj-320791144.txt
Angry Penguins broadsheet.,nla.obj-320791166,"Collection No. 7 (Jul., 1946)",16,angry-penguins-broadsheet-collection-no-7-jul-1946-nla.obj-320791166.txt
Angry Penguins broadsheet.,nla.obj-320791189,"Collection No. 8 (Aug., 1946)",16,angry-penguins-broadsheet-collection-no-8-aug-1946-nla.obj-320791189.txt
Angry Penguins broadsheet.,nla.obj-320791206,"Collection No. 9 (Sept., 1946)",16,angry-penguins-broadsheet-collection-no-9-sept-1946-nla.obj-320791206.txt
Angry Penguins broadsheet.,nla.obj-320791222,"Collection No. 10 (Dec., 1946)",28,angry-penguins-broadsheet-collection-no-10-dec-1946-nla.obj-320791222.txt
