id,label,volume,number,date,pages
nla.obj-124654480,,,1,1880-01-31,8
nla.obj-188284455,,,2,1880-02-07,8
nla.obj-188537163,,,3,1880-02-14,8
nla.obj-125527104,,,4,1880-02-21,8
nla.obj-201081027,,,5,1880-02-28,8
nla.obj-125534622,,,6,1880-03-06,8
nla.obj-201334002,,,7,1880-03-13,8
nla.obj-125535846,,,8,1880-03-20,8
nla.obj-201347662,,,9,1880-03-27,8
nla.obj-125537405,,,10,1880-04-03,8
nla.obj-201352807,,,11,1880-04-10,8
nla.obj-125539523,,,12,1880-04-17,8
nla.obj-186292019,,,13,1880-04-24,8
nla.obj-125539812,,2,14,1880-05-01,8
nla.obj-125541996,,2,15,1880-05-08,8
nla.obj-125542902,,2,16,1880-05-15,8
nla.obj-201374109,,2,17,1880-05-22,8
nla.obj-125569437,,2,18,1880-05-29,12
nla.obj-125586911,,2,19,1880-06-05,12
nla.obj-125604005,,2,20,1880-06-12,12
nla.obj-127616310,,2,21,1880-06-19,12
nla.obj-201397257,,2,22,1880-06-26,12
nla.obj-242158627,,2,23,1880-07-03,12
nla.obj-68379827,,2,24,1880-07-10,16
nla.obj-79812988,,2,25,1880-07-17,12
nla.obj-79851608,,2,26,1880-07-24,12
nla.obj-79833688,,3,27,1880-07-31,12
nla.obj-127616411,,3,28,1880-08-07,16
nla.obj-127618323,,3,29,1880-08-14,16
nla.obj-201414516,,3,30,1880-08-21,16
nla.obj-127621071,,3,31,1880-08-28,16
nla.obj-79866818,,3,32,1880-09-04,16
nla.obj-242204468,,3,33,1880-09-11,16
nla.obj-242208549,,3,34,1880-09-18,16
nla.obj-242211336,,3,35,1880-09-25,16
nla.obj-204414888,,3,36,1880-10-02,16
nla.obj-127622376,,3,37,1880-10-09,16
nla.obj-242213994,,3,38,1880-10-16,16
nla.obj-242221417,,3,39,1880-10-23,16
nla.obj-127624573,,4,40,1880-10-30,16
nla.obj-127626657,,4,41,1880-11-06,16
nla.obj-242222932,,4,42,1880-11-13,16
nla.obj-242229226,,4,43,1880-11-20,16
nla.obj-242235949,,4,44,1880-11-27,16
nla.obj-242242684,,4,45,1880-12-04,16
nla.obj-242246068,,4,46,1880-12-11,16
nla.obj-127630095,,4,47,1880-12-18,16
nla.obj-204461471,,4,48,1880-12-25,16
nla.obj-127632647,,4,49,1881-01-01,16
nla.obj-127633292,,4,50,1881-01-08,16
nla.obj-127634679,,4,51,1881-01-15,16
nla.obj-128328977,,4,52,1881-01-22,16
nla.obj-128329114,,5,53,1881-01-29,16
nla.obj-128330549,,5,54,1881-02-05,16
nla.obj-128333258,,5,55,1881-02-12,16
nla.obj-128334600,,5,56,1881-02-19,16
nla.obj-128337632,,5,57,1881-02-26,16
nla.obj-128341077,,5,58,1881-03-05,16
nla.obj-128342637,,5,59,1881-03-12,16
nla.obj-128344287,,5,60,1881-03-19,16
nla.obj-128346623,,5,61,1881-03-26,16
nla.obj-130151897,,5,62,1881-04-02,16
nla.obj-130173216,,5,63,1881-04-09,16
nla.obj-132942969,,5,64,1881-04-16,16
nla.obj-132943100,,5,65,1881-04-23,16
nla.obj-132945489,,6,66,1881-04-30,16
nla.obj-132948968,,6,67,1881-05-07,16
nla.obj-132949783,,6,68,1881-05-14,16
nla.obj-132954481,,6,69,1881-05-21,16
nla.obj-132954548,,6,70,1881-05-28,16
nla.obj-132956583,,6,71,1881-06-04,16
nla.obj-132962025,,6,72,1881-06-11,16
nla.obj-132962387,,6,73,1881-06-18,16
nla.obj-132963076,,6,74,1881-06-25,16
nla.obj-132967421,,6,75,1881-07-02,16
nla.obj-132969462,,6,76,1881-07-09,16
nla.obj-132969801,,6,77,1881-07-16,16
nla.obj-132978023,,6,78,1881-07-23,16
nla.obj-132984198,,7,79,1881-07-30,16
nla.obj-132985919,,7,80,1881-08-06,16
nla.obj-132986805,,7,81,1881-08-13,16
nla.obj-132989378,,7,82,1881-08-20,16
nla.obj-132992390,,7,83,1881-08-27,16
nla.obj-134048487,,7,84,1881-09-03,16
nla.obj-134055860,,7,85,1881-09-10,16
nla.obj-134061700,,7,86,1881-09-17,16
nla.obj-134064853,,7,87,1881-09-24,16
nla.obj-134068875,,7,88,1881-10-01,16
nla.obj-134069707,,7,89,1881-10-08,16
nla.obj-134071527,,7,90,1881-10-15,16
nla.obj-134095543,,7,91,1881-10-22,16
nla.obj-134095928,,8,92,1881-10-29,16
nla.obj-134096293,,8,93,1881-11-05,16
nla.obj-134974645,,8,94,1881-11-12,16
nla.obj-134979160,,8,95,1881-11-19,16
nla.obj-134988288,,8,96,1881-11-26,16
nla.obj-134991474,,8,97,1881-12-03,16
nla.obj-134993667,,8,98,1881-12-10,16
nla.obj-134994004,,8,99,1881-12-17,16
nla.obj-134996029,,8,100,1881-12-24,16
nla.obj-134999585,,8,101,1881-12-31,16
nla.obj-205195544,,8,102,1882-01-07,16
nla.obj-135016043,,8,103,1882-01-14,16
nla.obj-135017696,,8,104,1882-01-21,24
nla.obj-186295652,,9,105,1882-01-28,16
nla.obj-191506022,,9,106,1882-02-04,16
nla.obj-191533922,,9,107,1882-02-11,16
nla.obj-191558483,,9,108,1882-02-18,16
nla.obj-191562318,,9,109,1882-02-25,16
nla.obj-191575709,,9,110,1882-03-04,16
nla.obj-191610928,,9,111,1882-03-11,24
nla.obj-191613215,,9,112,1882-03-18,24
nla.obj-198881741,,9,113,1882-03-25,16
nla.obj-198896998,,9,114,1882-04-01,16
nla.obj-198913066,,9,115,1882-04-08,16
nla.obj-211023852,,9,116,1882-04-15,16
nla.obj-211024789,,9,117,1882-04-22,16
nla.obj-211036215,,9,118,1882-04-29,16
nla.obj-211047053,,9,119,1882-05-06,16
nla.obj-211152271,,9,120,1882-05-13,16
