version_id,title,date,creators,subjects,source,fulltext_url,trove_url
214098272,The International Atomic Energy Agency and the World Order,1991-09-16,"Evans, Gareth",,Minister for Foreign Affairs and Trade,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/HPR08000129%22,https://trove.nla.gov.au/version/214098272
211168619,Australian Labor Party: 2nd Commonwealth Conference 1902,1902-01-01,ALP,History of the Federal Capital and Parliament House,AUSTRALIAN LABOR PARTY,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/3464114%22,https://trove.nla.gov.au/version/211168619
211168681,Outside control of the liberal party,1964-04-27,ALP,,LEADER OF THE OPPOSITION,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/694933%22,https://trove.nla.gov.au/version/211168681
211168736,Decisions of the federal executive,1965-06-10,ALP,,LEADER OF THE OPPOSITION,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/694904%22,https://trove.nla.gov.au/version/211168736
211168720,Decisions of the federal executive,1964-11-09,ALP,,LEADER OF THE OPPOSITION,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/694967%22,https://trove.nla.gov.au/version/211168720
211168737,Defense and foreign affairs,1965-08-19,ALP,,LEADER OF THE OPPOSITION,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/694902%22,https://trove.nla.gov.au/version/211168737
211169122,Skylark rocket reaches 125 miles,1967-03-15,"Henty, Denham",,MINISTER FOR SUPPLY,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/759946%22,https://trove.nla.gov.au/version/211169122
211169213,Australian/United States agreement on co-operation in civil uses of atomic energy,1967-04-12,"Hasluck, Paul",,Minister for External Affairs,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/713521%22,https://trove.nla.gov.au/version/211169213
211169343,Queen Elizabeth ii fellowships,1967-06-16,"Gorton, John",,Minister for Education and Science,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/699543%22,https://trove.nla.gov.au/version/211169343
213602486,Press release,1971-11-03,"Swartz, Reginald",,Minister for National Development,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/HPR01000100%22,https://trove.nla.gov.au/version/213602486
211173172,Press release,1969-12-12,"Swartz, Reginald",,Minister for National Development,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/851526%22,https://trove.nla.gov.au/version/211173172
211173154,Press release,1969-12-10,"Swartz, Reginald",,Minister for National Development,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/851525%22,https://trove.nla.gov.au/version/211173154
211170843,Press release,1968-08-23,"Swartz, Reginald",,Minister for Civil Aviation,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/779064%22,https://trove.nla.gov.au/version/211170843
211170508,Press release,1968-06-07,"Swartz, Reginald",,Minister for Civil Aviation,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/779060%22,https://trove.nla.gov.au/version/211170508
211170464,Press release,1968-06-03,"Swartz, Reginald",,Minister for Civil Aviation,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/779059%22,https://trove.nla.gov.au/version/211170464
211169467,Press release,1967-08-15,"Swartz, Reginald",,Minister for Civil Aviation,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/692758%22,https://trove.nla.gov.au/version/211169467
211169468,Press Release,1967-08-15,"Swartz, Reginald",,Minister for Civil Aviation,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/692757%22,https://trove.nla.gov.au/version/211169468
211170327,Australian delegation to the General Assembly,1968-04-24,"Hasluck, Paul",,Minister for External Affairs,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/793244%22,https://trove.nla.gov.au/version/211170327
211169571,Australian delegation to the general assembly,1967-09-19,"Hasluck, Paul",,Minister for External Affairs,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/745120%22,https://trove.nla.gov.au/version/211169571
211171582,[Press statement],1968-12-20,"Snedden, Billy",,Minister for Immigration,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/790870%22,https://trove.nla.gov.au/version/211171582
211171283,[Press statement],1968-11-05,"Snedden, Billy",,Minister for Immigration,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/790868%22,https://trove.nla.gov.au/version/211171283
211171228,[Press statement],1968-10-28,"Snedden, Billy",,Minister for Immigration,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/790917%22,https://trove.nla.gov.au/version/211171228
211171193,[Press statement],1968-10-24,"Snedden, Billy",,Minister for Immigration,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/790867%22,https://trove.nla.gov.au/version/211171193
211171118,[Press statement],1968-10-10,"Snedden, Billy",,Minister for Immigration,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/790915%22,https://trove.nla.gov.au/version/211171118
211171109,[Press statement],1968-10-09,"Snedden, Billy",,Minister for Immigration,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/790914%22,https://trove.nla.gov.au/version/211171109
211171018,[Press statement],1968-09-22,"Snedden, Billy",,Minister for Immigration,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/790913%22,https://trove.nla.gov.au/version/211171018
211171009,[Press statement],1968-09-19,"Snedden, Billy",,Minister for Immigration,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/790911%22,https://trove.nla.gov.au/version/211171009
211171010,[Press statement],1968-09-19,"Snedden, Billy",,Minister for Immigration,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/790912%22,https://trove.nla.gov.au/version/211171010
211170970,[Press statement],1968-09-16,"Snedden, Billy",,Minister for Immigration,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/790910%22,https://trove.nla.gov.au/version/211170970
